"x";"y"
"1";-35.4798839373225;-9.60999365242943
"2";-35.2737347767281;-9.34236772742029
"3";-35.6386000433671;-9.87151516754646
"4";-35.1232151115485;-9.14721965713333
"5";-35.134103692635;-9.22119795785937
"6";-35.120200126539;-9.09553200093284
"7";-35.8678449469819;-10.1016070836764
"8";-34.933038366793;-9.00706070229039
"9";-35.3489085088707;-9.50650934810471
"10";-35.377814972108;-9.48199555104971
"11";-35.556179265724;-9.63356528506149
"12";-35.6197015778394;-9.86687109635212
"13";-35.8757476129388;-10.1306660597092
"14";-34.9334121994374;-9.01758089482598
"15";-35.0361882920696;-9.07197900217678
"16";-35.8161994693035;-10.0720158900432
"17";-35.5410885530957;-9.59891530019417
"18";-35.510767025521;-9.49343566390406
"19";-35.8564243072453;-10.1216568408646
"20";-35.79986641099;-10.071639644783
"21";-35.3149892046184;-9.47732118197437
"22";-35.7798452180556;-9.92356726451311
"23";-35.7870759617195;-9.98773228583764
"24";-35.3374758136142;-9.33854799341969
"25";-35.4298045450146;-9.63017888140678
"26";-35.5759657739007;-9.70839358813409
"27";-35.5312646270022;-9.75236050820816
"28";-35.3608011858428;-9.5217895513
"29";-35.0307407422366;-9.0564763818197
"30";-35.3104071402075;-9.42508979210071
"31";-34.990662315072;-8.98866176466178
"32";-35.7935233021262;-10.0213201943561
"33";-35.1954408946137;-9.0692515202146
"34";-35.4550372410135;-9.53077163373306
"35";-35.7191514447045;-9.80475797385071
"36";-35.1848575572348;-9.08581978466082
"37";-35.9079293461437;-10.2044974395614
"38";-35.4907437771787;-9.64008477815613
"39";-35.816836341907;-10.1048266356159
"40";-35.9617033843787;-10.1446960744699
"41";-35.3486779338515;-9.41465123984683
"42";-35.4243918972481;-9.54224101793673
"43";-35.6059853741673;-9.74606727913301
"44";-35.0954108706664;-9.05282919538952
"45";-35.1060142888154;-9.03509424884524
"46";-35.5463018101263;-9.61671941233426
"47";-35.8319706604329;-10.1019460785519
"48";-35.2171827247816;-9.24505304255988
"49";-35.9101612931823;-10.0628292049598
"50";-35.1466117355854;-9.21207267146558
"51";-35.076375646428;-8.97251398961153
"52";-35.385131604617;-9.38718565621413
"53";-35.0323050871103;-8.92833102400508
"54";-35.4338941568437;-9.54767666476779
"55";-35.6715203724743;-9.9263640324017
"56";-35.5267955020061;-9.70908028200548
"57";-35.1777738625214;-9.09104720465746
"58";-34.9063547302939;-8.97112881257106
"59";-35.7124173490254;-9.84061898667458
"60";-35.3039707769724;-9.41922102767322
"61";-35.8154127994832;-9.93225360689033
"62";-35.4530894033473;-9.42074800347351
"63";-35.0171591370765;-9.02573214190267
"64";-35.1200507549506;-9.22258905590978
"65";-35.5358416153905;-9.65844722583983
"66";-35.8803565662883;-10.1474870252423
"67";-35.8098249353261;-9.93146964805666
"68";-35.0002645025149;-9.09077325994708
"69";-35.2072564100083;-9.32013176415954
"70";-35.2715280166534;-9.34542706288491
"71";-35.0271334322912;-9.08956604690477
"72";-35.1028853881396;-8.98484541821573
"73";-35.5123160814459;-9.54512054908928
"74";-35.1684313986383;-9.12627344471403
"75";-35.1160674694027;-9.09425035255868
"76";-35.3097030145475;-9.45471045122482
"77";-35.3021427114035;-9.44041940310318
"78";-35.0988155456716;-9.14903410398215
"79";-35.3507518318703;-9.31258043708373
"80";-35.0788493137537;-8.94281621190719
"81";-35.9249361539891;-10.1940185725242
"82";-35.5247041591499;-9.57885089306533
"83";-35.2279662766759;-9.12321121263131
"84";-34.893767664854;-8.96260527253617
"85";-35.4788078806072;-9.49138577379566
"86";-35.7869846558103;-10.0111146539394
"87";-35.6634531179061;-9.71455539076123
"88";-35.5073468315122;-9.4841034104256
"89";-35.454966473829;-9.43145573404338
"90";-34.9013186060591;-8.92439360295422
"91";-35.4828195994783;-9.62803295941465
"92";-35.0617793297253;-9.10499100099131
"93";-35.6939760994369;-9.76536568521988
"94";-35.1052453377971;-8.93654986276571
"95";-35.3077698163427;-9.25410668169428
"96";-35.819134878776;-10.0697896135701
"97";-35.0906151822908;-9.01213403181825
"98";-35.7624476033442;-9.94332687856909
"99";-35.0348501727241;-9.11779411935247
"100";-35.6300865012726;-9.66680957155861
